lane	slide	title	start	end	depthm	depthmi	desc	quote	mobileQuote	imgName	imgSource	imgFile	fileWidth	fileHeight	imgX	imgY	lightBoxFile	furtherReading
0	10	Little Ice Age	1500	1650	-178	-0.11	The impact of the Little Ice Age was devastating. It resulted in shorter crop seasons, frequent food shortages, and famine. In Northern Europe, rapid glacial advance destroyed entire villages. Locally, the deeply frozen Hudson River enabled ‘commuting by sleigh’. Writers and artists responded to the Little Ice Age with an explosion of work depicting winter scenes, which were generally romanticized and did not depict the hardships of the lower class.	The Little Ice Age was a period of widespread cooling that permeated the fabric of culture and society in Europe and North America<span id ="qEnd10">.</span>	The Little Ice Age was a period of widespread cooling that permeated the fabric of culture and society in Europe and North America<span id ="qEnd10">.</span>	The Hunters in the Snow by Pieter Bruegel the Elder	© Cäcilia Bischoff, Masterpieces of the Picture Gallery. A Brief Guide to the Kunsthistorisches Museum, Vienna 2010	bruegel	629	453	240	130		
2	11	Pytheas reaches Far North	-330	0	-535	-0.33	Around 330 BCE, the Greek geographer Pytheas embarked on a voyage that would take him to the Arctic Circle – nearly 2000 miles from his home in Marseille. Pytheas was the first to describe Arctic phenomena like the midnight sun, the aurora, and floating sea ice in writing, and he used novel measurement tools to precisely record latitude and tidal variability. Pytheas named the landmass he reached (likely present-day Iceland or Norway) ‘Thule,’ meaning the land beyond all known lands. His momentous volume, On the Ocean, remained the only first-hand account of its kind for centuries, widely referred to by scholars in Ancient Greece as a feat of science and exploration. It has now been lost.	Pytheas was the first to describe Arctic phenomena like the midnight sun, the aurora, and floating sea ice in writing<span id ="qEnd11">.</span>	Pytheas was the first to describe Arctic phenomena like the midnight sun, the aurora, and floating sea ice in writing<span id ="qEnd11">.</span>									
1	12	Greek depiction of Hyperborea	-440	-340	-556.48	-0.35	<p>The Ancient Greeks developed a profound understanding of the natural world through astronomy, mathematics, and exploration, yet the “Far North” remained just out of reach, made inaccessible by frigid air and a turbulent ocean. Appearing first in myth and later in texts by Herodotus, a 5th century BCE historian, the Greeks believed that the lost continent of “Hyperborea” lay beyond the North Wind. Hyperborea, a place free of war and illuminated by eternal sunlight, is perhaps the first example of the western world’s fascination with the Arctic as a place apart – a portal to the unknown. The legend resurfaced in later European cultures, as shown by a 16th century map depicting Hyperborea by famed cartographer Gerard Mercator.</p>	Hyperborea, a land free of war and illuminated by eternal sunlight, is perhaps the first example of the western world’s fascination with the Arctic as a place apart<span id ="qEnd12">.</span>	Hyperborea, a land free of war and illuminated by eternal sunlight, is perhaps the first example of the western world’s fascination with the Arctic as a place apart<span id ="qEnd12">.</span>	Gerard Mercator's map of the Arctic, 1595	Credit: Helmink Antique Maps	hyperborea	720	668	240	160		
2	13	First humans in Greenland	-3000	-2000	-984.61	-0.61	<p>Little is known about the first people to inhabit Greenland, whose survival at the margins of habitability is both awe-inspiring and reflective of humans’ capacity to overcome adversity. Genetic evidence suggests that the ancestors of these early Greenlanders came across Canada from Siberia, reaching Greenland over four thousand years ago.</p> <p>The oldest work of art that has been traced back to Arctic inhabitants is a 3700-year old small, ivory maskette. Sculptures like this were often tiny so that they could be carried from place to place by their nomadic owners. This maskette was discovered on Devon Island in the Arctic Archipelago, a mosaic of islands between mainland Canada and Greenland that would have been traversed by early Arctic pioneers. Over the next several thousand years, at least six distinct human populations and cultures migrated to and settled in Greenland.	Recent evidence suggests that the ancestors of these early Greenlanders came across Canada from Siberia, reaching Greenland over four thousand years ago<span id ="qEnd13">.</span></p>	Recent evidence suggests that the ancestors of these early Greenlanders came across Canada from Siberia, reaching Greenland over four thousand years ago<span id ="qEnd13">.</span>	Early Dorset mask	Credit: © Tim Rast, Elfshot	mask2	477	742	380	143		<p>National Geographic, <a target="_blank" href="https://news.nationalgeographic.com/news/2010/02/100210-ancient-human-dna-hair-saqqaq-inuk/">Face of Ancient Human Drawn From Hair's DNA</a></p><p>Canadian Museum of History, <a target="_blank" href="http://www.historymuseum.ca/cmc/exhibitions/tresors/ethno/et0354be.shtml">Gateway to Aboriginal History</a></p>
2	14	Sea level stabilization	-5000	-4000	-1253.07	-0.78	At the dawn of our current interglacial period, ice levels reached a new equilibrium. As melting slowed, sea levels stabilized, as did the coastlines and relatively mild climate that human society has relied on since the beginning of advanced civilization. One of the insights scientists have drawn from studying the Greenland ice sheet is that this period of stability is unusual in the history of Earth's climate over the last 110,000 years. Anthropogenic climate change threatens to throw away the gift of a climate in which we can flourish.	Gradual warming of the climate and thawing of ice over land opened up migratory routes that facilitated prehistoric human settlement on new continents<span id ="qEnd14">.</span>	Gradual warming of the climate and thawing of ice over land opened up migratory routes that facilitated prehistoric human settlement on new continents<span id ="qEnd14">.</span>									<p>The Conversation, <a target="_blank" href="https://theconversation.com/first-americans-lived-on-land-bridge-for-thousands-of-years-genetics-study-suggests-23747">First Americans lived on land bridge for thousands of years, genetics study suggests</a></p><p>Earth and Space Science News, <a target="_blank" href="http://onlinelibrary.wiley.com/doi/10.1029/2007EO150001/abstract">Emergence of Complex Societies After Sea Level Stabilized</a></p>
0	15	Younger Dryas	-12500	-9500	-1702	-1.06	<p>During Earth’s slow transition from the Last Glacial Period to today’s warmer interglacial, there was an unexpected departure known as the Younger Dryas. Northern Hemispheric temperatures became much cooler, then slowly began to rise again. The end of the Younger Dryas is marked by a local Greenland warming of 10º C in just 10 years.</p> <p>The cause of this warming is a hotly contested subject. Some researchers believe that the Younger Dryas was caused by a meteor impact and have identified rare metals in Greenland ice cores as evidence, while others believe that it was due to a brief slowdown of Atlantic circulation caused by a pulse of glacial freshwater. In either case, this warming event underscores that Earth's climate has changed considerably, and sometimes abruptly, in the past. A critical difference now is that humans are causing the change.</p>	The end of the Younger Dryas is marked by a local warming of 10º C in just 10 years, which was recorded by oxygen isotopes in Greenland ice GISP2<span id ="qEnd15">.</span>	The end of the Younger Dryas is marked by a local warming of 10º C in just 10 years, which was recorded by oxygen isotopes in Greenland ice GISP2<span id ="qEnd15">.</span>	Map of Northern Hemisphere glacial extent during the Younger Dryas event (12.6 kya)	© Ron Blakey	lgm	1000	966	300	160		<p>Scientific American, <a target="_blank" href="https://blogs.scientificamerican.com/history-of-geology/httpblogsscientificamericancomhistory-of-geology20110727the-younger-dryas-impact-hypothesis/">The Younger Dryas Impact Hypothesis</a></p><p>National Oceanic and Atmospheric Administration, <a target="_blank" href="https://www.ncdc.noaa.gov/abrupt-climate-change/The%20Younger%20Dryas">The Younger Dryas</a></p>
0	16	Last Glacial Maximum	-20000	-18000	-1961	-1.22	For the past 2.6 million years, Earth has regularly cycled between glacial and interglacial periods. Modern climate change is categorically different from Earth’s glacial cycles, which are driven by slow, predictable variations in Earth’s orbit, especially when continental land areas are in the polar regions. Note that these glacial cycles are not the only expression of climatic change over Earth's history, and have been punctuated by more abrupt shifts, as noted above.	The peak of the last glacial period occurred 22,000 years ago and was characterized by massive ice sheets covering most of Canada and Northern Europe<span id ="qEnd16">.</span>	The peak of the last glacial period occurred 22,000 years ago and was characterized by massive ice sheets covering most of Canada and Northern Europe<span id ="qEnd16">.</span>									
0	17	Last Interglacial	-130000	-113000	-2952	-1.83	In earth science, ice ages can last for millions of years with alternating glacial and interglacial periods. The most recent interglacial (not including the present) ended 115 thousand years ago. It is believed that Earth was about 2ºC warmer on average than today’s climate, but as is not the case today, the tropics stayed relatively cool due to weak oceanic circulation.	By studying this warm period, scientists have gained a better understanding of how factors like ocean circulation and surface reflectivity affect modern climate change<span id ="qEnd17">.</span>	By studying this warm period, scientists have gained a better understanding of how factors like ocean circulation and surface reflectivity affect modern climate change<span id ="qEnd17">.</span>									
0	18	Oldest GISP2 Ice	-237000	-180000	-3024	-1.88	Despite the mixing that is present in this final section, the ice has been accurately dated from measurements of ancient oxygen and methane trapped within. The oldest ice found here is at least <a target="_blank" href="http://onlinelibrary.wiley.com/doi/10.1029/2005JD006032/abstract">237 thousand years old</a> and has survived the last interglacial period 130,000 years ago.	Beneath the upper 2750 meters of the GISP2 ice core, which is continuous for nearly 110,000 years, lies a section of disturbed ice. The oldest ice found here is at least 237 thousand years old<span id ="qEnd18">.</span>	Beneath the upper 2750 meters of the GISP2 ice core, which is continuous for nearly 110,000 years, lies a section of disturbed ice. The oldest ice found here is at least 237 thousand years old<span id ="qEnd18">.</span>	Dirty ice	© Paul Bierman, University of Vermont	dirtyice	850	1269	350	140		
0	19	Formation of Greenland Ice Sheet	-1000000	-600000	1	1	Three million years ago, atmospheric carbon dioxide (CO2) levels plummeted, coinciding with around 3˚C of global cooling. The decrease of atmospheric CO2 – from around 400 parts per million (ppm) to 200 ppm – is of the same magnitude as the change from preindustrial to modern times, but it occurred over hundreds of thousands of years. This reduction in CO2 and temperature resulted in the formation of a vast ice sheet covering Greenland and adjacent Canada, which had been mainly ice-free for 30 million years. Today, the oldest ice present in the Greenland ice sheet could be more than two million years old.	Three million years ago, atmospheric carbon dioxide (CO2) levels plummeted, coinciding with around 3˚C of global cooling. This resulted in the formation of a vast ice sheet covering Greenland, which had been mainly ice-free for 30 million years<span id ="qEnd19">.</span>	Three million years ago, atmospheric carbon dioxide (CO2) levels plummeted, coinciding with around 3˚C of global cooling. This resulted in the formation of a vast ice sheet covering Greenland, which had been mainly ice-free for 30 million years<span id ="qEnd19">.</span>									<p>Ars Technica, <a target="_blank" href="https://arstechnica.com/science/2016/08/how-old-is-mystery-ice-from-the-base-of-greenlands-ice-sheet/">How old is mystery ice from the base of Greenland’s ice sheet?</a></p><p>Science Magazine, <a target="_blank" href="http://science.sciencemag.org/content/309/5735/758">Permanent El Niño-Like Conditions During the Pliocene Warm Period</a></p><p>Science Magazine, <a target="_blank" href="http://science.sciencemag.org/content/326/5958/1394">Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years</a></p><p>Nature, <a target="_blank" href="https://www.nature.com/articles/nature07223">Late Pliocene Greenland glaciation controlled by a decline in atmospheric CO2 levels</a></p>
